event_ts,sample_index,time_ms,v1,v2,v3
2026-04-30T09:10:26.328Z,990,618.75,-120160.82069396973,44614.923038482666,69853.50881195068
2026-04-30T09:10:26.328Z,991,619.375,-114690.19508361816,25118.33596420288,84219.66886138916
2026-04-30T09:10:26.328Z,992,620.0,-107168.08486938477,1859.2496299743652,101322.24034881592
2026-04-30T09:10:26.328Z,993,620.625,-93548.50652694702,-21456.844268798828,109873.5260925293
2026-04-30T09:10:26.328Z,994,621.25,-79302.0856666565,-43575.77931213379,118823.87183761597
2026-04-30T09:10:26.328Z,995,621.875,-54228.384952545166,-67461.94885635376,117512.67469024658
2026-04-30T09:10:26.328Z,996,622.5,-34454.352798461914,-83424.06692886353,113351.0489616394
2026-04-30T09:10:26.328Z,997,623.125,-12115.964889526367,-99044.13961410522,107422.1575126648
2026-04-30T09:10:26.328Z,998,623.75,10450.365753173828,-110502.66008758545,95108.30604171753
2026-04-30T09:10:26.328Z,999,624.375,33187.65344619751,-118597.73425292969,81597.27456665039
2026-04-30T09:10:26.328Z,1000,625.0,55412.06998825073,-122360.23351287842,61245.21449661255
2026-04-30T09:10:26.328Z,1001,625.625,75072.13077545166,-117058.53001022339,36503.494411468506
2026-04-30T09:10:26.328Z,1002,626.25,89888.40847015381,-112440.91728210449,17462.63148880005
2026-04-30T09:10:26.328Z,1003,626.875,103678.94386291504,-102635.61618041992,-6537.977165222168
2026-04-30T09:10:26.328Z,1004,627.5,113024.59594726562,-88383.72504425049,-28771.320098876953
2026-04-30T09:10:26.328Z,1005,628.125,118552.20724105835,-72649.63722991943,-51175.688747406006
2026-04-30T09:10:26.328Z,1006,628.75,115987.85148620605,-47224.263442993164,-73580.05739593506
2026-04-30T09:10:26.328Z,1007,629.375,110745.16860961914,-26815.555335998535,-89257.41459274292
2026-04-30T09:10:26.328Z,1008,630.0,103564.97249603271,-3784.4992599487305,-105105.79750442505
2026-04-30T09:10:26.328Z,1009,630.625,89603.480052948,19759.624897003174,-114512.21182250977
